method,lambda,restart,objective,success,L0,A,C,alpha,p0,p1,p2,p3,p4,p5,p6,status,c1,c2,c3,c4,s,gamma
MTL,0.95,0,1e+30,True,1.8028526504343434,49.109644845391735,0.23764677336615325,0.44745741340757605,,,,,,,,,,,,,,
MTL,0.95,1,0.0002607571957670969,True,2.6753705720120595,121.93014603496604,0.007936888067755873,0.6893317499415218,,,,,,,,,,,,,,
MTL,0.95,2,1e+30,True,2.5049412301049747,5.857508029049667,0.340431874273895,0.19438995855349028,,,,,,,,,,,,,,
MTL,0.95,3,1e+30,True,2.3054413894600323,34.355984230186934,0.3477337550218094,0.43268659343335003,,,,,,,,,,,,,,
MTL,0.95,4,0.0003778310775814726,True,2.4001718806884424,11.44034008587974,0.006833684115490429,0.3425966174498624,,,,,,,,,,,,,,
MTL,0.95,5,1e+30,True,1.7373319076006462,61.169048571092766,0.1823618454491629,0.4750503480018274,,,,,,,,,,,,,,
MTL,0.95,6,0.0001753032373852287,True,2.8641089081723092,53037.78656377839,0.01166665930098982,1.5261867490382937,,,,,,,,,,,,,,
MTL,0.95,7,0.0003369764509565835,True,2.562190493960118,26.557341440716097,0.007383927763479282,0.47782999566327095,,,,,,,,,,,,,,
MTL,0.95,8,0.00011369035745376642,True,2.835129955179973,9391.51407864764,0.010778185200431969,1.288684105189935,,,,,,,,,,,,,,
MTL,0.95,9,1e+30,True,1.9490939249564654,16173.153064381395,0.943732290797011,1.2963141091389196,,,,,,,,,,,,,,
MTL,0.95,10,1e+30,True,2.5867890462045438,38.636273551029205,0.360713928129768,0.4753929974900035,,,,,,,,,,,,,,
MTL,0.95,11,0.000317054481214223,True,2.5941308484129073,40.32108633876168,0.007421693534530519,0.53434616547348,,,,,,,,,,,,,,
MTL,0.95,12,1e+30,True,2.123146838371637,7.615021400650868,1.9512537363945641,0.2001075022034616,,,,,,,,,,,,,,
MTL,0.95,13,1e+30,True,2.075903615897492,67.72052561225436,2.8793407310339774,0.5128603504172028,,,,,,,,,,,,,,
MTL,0.95,14,0.00020386858066168684,True,2.735360833648235,373.47304758536427,0.008606507020144856,0.8462311237125305,,,,,,,,,,,,,,
MTL,0.95,15,0.0001461248815279364,True,2.85295717498981,24249.416896904306,0.011317403264329558,1.4191211916851112,,,,,,,,,,,,,,
MTL,0.95,16,0.00027907235893175417,True,2.6485594010849396,84.97682973638321,0.007695228209243929,0.6373672522642695,,,,,,,,,,,,,,
MTL,0.95,17,0.00021341097621216675,True,2.7272440775675793,309.7414783003043,0.0085060096091759,0.8203806905513357,,,,,,,,,,,,,,
MTL,0.95,18,0.014318115891911627,True,1.9013342145876977,8.754118505101626,0.00013813901118687018,0.20438872273661657,,,,,,,,,,,,,,
MTL,0.95,19,0.0005698522835843022,True,1.8230208275696822,15.297808175446072,0.0003710107732164762,0.2932461314601091,,,,,,,,,,,,,,
MTL,0.99,0,0.008336130059636838,True,2.035121321953704,5.6973569201473255,0.005568108143895674,0.1515981267980597,,,,,,,,,,,,,,
MTL,0.99,1,0.00034033226089846905,True,2.5442076241132123,23.488434258666526,0.0014558318110639164,0.45884583123319345,,,,,,,,,,,,,,
MTL,0.99,2,1e+30,True,2.409847318128949,521.4846107470443,1.453384359696399,0.8353729981076917,,,,,,,,,,,,,,
MTL,0.99,3,1e+30,True,1.9895850810772129,187.2188468831596,0.4946952433828022,0.6537975198019913,,,,,,,,,,,,,,
MTL,0.99,4,9.156616396458965e-05,True,2.808503731595543,3588.968218515338,0.0019949008366717982,1.1551999649356177,,,,,,,,,,,,,,
MTL,0.99,5,1e+30,True,2.4600583291384592,135.75636758971572,1.8735677334103653,0.6451292356808961,,,,,,,,,,,,,,
MTL,0.99,6,0.000287889602889752,True,2.628178712794725,67.8077978217631,0.0015016940005166597,0.6042896911290391,,,,,,,,,,,,,,
MTL,0.99,7,0.00013442307711360491,True,2.8472040172167916,18186.591372804847,0.002226532981303519,1.3794217588653952,,,,,,,,,,,,,,
MTL,0.99,8,0.0005471002607261531,True,1.7929896767075617,13.55866854793493,0.00013725626271161745,0.27682471173136197,,,,,,,,,,,,,,
MTL,0.99,9,1e+30,True,2.3035937360311305,6.654711169098603,2.9025070893415683,0.1949541610738661,,,,,,,,,,,,,,
MTL,0.99,10,0.004242496933003443,True,2.097855372756934,21.7346488038563,0.00013283756646466333,0.35000179788064323,,,,,,,,,,,,,,
MTL,0.99,11,0.00010730906516416207,True,2.830623480276157,8030.925866844439,0.002126865132577984,1.2668638236606393,,,,,,,,,,,,,,
MTL,0.99,12,1e+30,True,2.1146646463554863,13.519688529184467,1.4331981920484806,0.28254867834053965,,,,,,,,,,,,,,
MTL,0.99,13,1e+30,True,2.4684962657850757,1115.9451899104768,8.951028972071374,0.9508083474370855,,,,,,,,,,,,,,
MTL,0.99,14,1e+30,True,2.1727625951265668,352.61103334492765,0.12429582437109644,0.7590146446859236,,,,,,,,,,,,,,
MTL,0.99,15,0.0005064397470183521,True,2.132476596139338,22.621347912114963,0.00035729136892283486,0.37403523522819093,,,,,,,,,,,,,,
MTL,0.99,16,1e+30,True,2.5260668030464535,2383.4549579396394,3.912803138747324,1.066064387779784,,,,,,,,,,,,,,
MTL,0.99,17,0.0022782171270955684,True,1.9786028174869867,205.4897998041839,9.852261476544274e-05,0.5781837553234362,,,,,,,,,,,,,,
MTL,0.99,18,0.0018941678999186296,True,2.3952113958282037,1935.9681951194664,1e-10,0.9010476192315441,,,,,,,,,,,,,,
MTL,0.99,19,0.003012566873117981,True,1.7869762217844518,233.15415287740575,1e-10,0.5675250651475602,,,,,,,,,,,,,,
MTL,0.995,0,0.00041530036424946404,True,1.9010883604382627,6.911144673901704,0.000499078957255171,0.21197498854860947,,,,,,,,,,,,,,
MTL,0.995,1,1e+30,True,1.996605036047415,8.686061158064922,5.178084760988835,0.20987360865872928,,,,,,,,,,,,,,
MTL,0.995,2,1e+30,True,2.46358681135903,4662.224028553804,2.040224824421422,1.1572980105452904,,,,,,,,,,,,,,
MTL,0.995,3,1e+30,True,1.8519361147160398,560.5702301907007,0.5484662292975381,0.8030956624499386,,,,,,,,,,,,,,
MTL,0.995,4,0.0004119167229376834,True,1.9632204178154766,6.6665585835319865,0.0005341895977763666,0.2151387582508581,,,,,,,,,,,,,,
MTL,0.995,5,0.00016453451544862587,True,2.757144640992883,699.5253119702837,0.0008868675633278452,0.9317112709162351,,,,,,,,,,,,,,
MTL,0.995,6,1e+30,True,2.159546271371367,1951.9191184054687,0.1043404189142725,1.0056639437338457,,,,,,,,,,,,,,
MTL,0.995,7,1e+30,True,1.920812900840639,32.49698246685766,0.10299687584731039,0.39555638184772446,,,,,,,,,,,,,,
MTL,0.995,8,0.001033958851427881,True,2.4047379002016616,311.37605390944776,4.3609776376120404e-05,0.7117002361721564,,,,,,,,,,,,,,
MTL,0.995,9,0.012049432769164132,True,2.3750090109244493,12.609339949202775,0.0004641820996267561,0.2935571671319735,,,,,,,,,,,,,,
MTL,0.995,10,1e+30,True,2.3719686209437922,28.361351459612916,0.4065662149657427,0.41061400802831904,,,,,,,,,,,,,,
MTL,0.995,11,1e+30,True,2.4591346748750613,616.4259079918606,0.014718344411627896,0.8640416055715809,,,,,,,,,,,,,,
MTL,0.995,12,1e+30,True,1.8636347444896932,245.4844862525339,0.608222671868379,0.6843618241747748,,,,,,,,,,,,,,
MTL,0.995,13,1e+30,True,2.0621820539100066,253.60370281642798,0.9985102725821751,0.7029572558268324,,,,,,,,,,,,,,
MTL,0.995,14,0.012439273927754273,True,2.1592818814239267,6.023490855074665,0.001894446720306254,0.1689364133922621,,,,,,,,,,,,,,
MTL,0.995,15,0.00012062319397042918,True,2.83983602420646,12915.404559650773,0.0010903896461411946,1.3320939005234234,,,,,,,,,,,,,,
MTL,0.995,16,1e+30,True,2.608331154471329,670.1546358954625,8.443872069716582,0.8905425585412015,,,,,,,,,,,,,,
MTL,0.995,17,1e+30,True,1.9070581972267981,6810.57261551798,2.7992095193801365,1.1682458501056852,,,,,,,,,,,,,,
MTL,0.995,18,0.0003891151554728636,True,2.2251795438222364,11.74930166380008,0.0004949776893273559,0.31414046618813624,,,,,,,,,,,,,,
MTL,0.995,19,1e+30,True,1.74578708936609,196.05015666057264,2.120648061491249,0.6441629406833069,,,,,,,,,,,,,,
MTL,0.999,0,1e+30,True,2.36056552679192,57.18930897591469,0.6139976817978147,0.5111337846851546,,,,,,,,,,,,,,
MTL,0.999,1,1e+30,True,1.810916308337087,11.177839847943,0.16199911427924654,0.23375382488811067,,,,,,,,,,,,,,
MTL,0.999,2,1e+30,True,1.8529637054719226,8.060759360610568,0.014732405384834467,0.18919953954314883,,,,,,,,,,,,,,
MTL,0.999,3,1e+30,True,1.9833931225505965,96.45857037729171,0.09840882675481405,0.5573757262003165,,,,,,,,,,,,,,
MTL,0.999,4,0.0014882646306190205,True,2.2914394225684154,26.748844283671236,0.00017495777954781532,0.395293554165343,,,,,,,,,,,,,,
MTL,0.999,5,1e+30,True,1.9041751030672516,7230.56202182226,0.16396963818172852,1.1767109034287726,,,,,,,,,,,,,,
MTL,0.999,6,1e+30,True,2.001159889960129,30.801718105078322,4.9783449050695685,0.3934123046302541,,,,,,,,,,,,,,
MTL,0.999,7,0.00016214067859581633,True,2.8474251479630763,42351.75705842286,0.0002201206623914224,1.4923182152396246,,,,,,,,,,,,,,
MTL,0.999,8,1e+30,True,2.012279929406613,18.68040173052036,1.4868595957513961,0.32182415902386646,,,,,,,,,,,,,,
MTL,0.999,9,1e+30,True,1.8078189201942791,11.760408243579699,0.03522424456878572,0.24090570399477307,,,,,,,,,,,,,,
MTL,0.999,10,1e+30,True,2.080023340376749,5.650073997767461,0.08580981023840148,0.15368028289463107,,,,,,,,,,,,,,
MTL,0.999,11,0.0004584472479537373,True,2.357265825709462,50.34114463703547,5.695311607664714e-05,0.5009604801262908,,,,,,,,,,,,,,
MTL,0.999,12,0.00042529845130181727,True,1.9460888907912373,10.036977592494813,7.099568451766851e-05,0.25874850500250396,,,,,,,,,,,,,,
MTL,0.999,13,0.002065971181397659,True,2.0384003264200334,221.73517061682497,1e-10,0.5963538910455786,,,,,,,,,,,,,,
MTL,0.999,14,1e+30,True,1.8223359169932787,172.8563458078873,0.032335776942921536,0.6308639807790399,,,,,,,,,,,,,,
MTL,0.999,15,1e+30,True,2.4650845324900756,10.332528886335421,0.18017776639523217,0.2728140745895399,,,,,,,,,,,,,,
MTL,0.999,16,0.0010932459306332903,True,2.5591855374993457,2846.744760232216,1.746447540674872e-05,1.0163888470488278,,,,,,,,,,,,,,
MTL,0.999,17,1e+30,True,1.9325045831185959,8974.905774062614,0.049565652699214764,1.2099288066558525,,,,,,,,,,,,,,
MTL,0.999,18,1e+30,True,2.2612536920968163,9.15194090892997,0.5433316092057552,0.23757433040601586,,,,,,,,,,,,,,
MTL,0.999,19,0.0025177406992214473,True,1.8986733020433721,210.43989586003036,1e-10,0.570779755564644,,,,,,,,,,,,,,
MTL,0.9995,0,1e+30,True,1.9331181999856741,178.08769283068227,0.02193195341897024,0.6426169970103943,,,,,,,,,,,,,,
MTL,0.9995,1,1e+30,True,1.825315180138148,10.770989811884784,1.7569199929649133,0.22932795226388902,,,,,,,,,,,,,,
MTL,0.9995,2,1e+30,True,1.78447036179845,7.774767565763772,0.8037669352521816,0.17949568468487126,,,,,,,,,,,,,,
MTL,0.9995,3,1e+30,True,1.912051234470961,77.18332343800373,1.1985748692024565,0.5201597847038707,,,,,,,,,,,,,,
MTL,0.9995,4,1e+30,True,2.1429526641213994,128.01910920450163,2.1821022191275086,0.6100699624830583,,,,,,,,,,,,,,
MTL,0.9995,5,0.00017720671200561228,True,2.682756509140725,197.13443040703882,7.622217134377417e-05,0.7524500376298113,,,,,,,,,,,,,,
MTL,0.9995,6,1e+30,True,2.2427102845741023,11.971557183241098,0.0148081749739395,0.2749397480967499,,,,,,,,,,,,,,
MTL,0.9995,7,0.0009804026571001243,True,2.117744687784844,70.886119746168,1e-10,0.4936344928222846,,,,,,,,,,,,,,
MTL,0.9995,8,1e+30,True,2.481048069872542,670.3062688544732,0.0047463410098913285,0.878198077666425,,,,,,,,,,,,,,
MTL,0.9995,9,1e+30,True,2.2853538200430843,14.15153938771342,2.0621117185094637,0.3026399282669805,,,,,,,,,,,,,,
MTL,0.9995,10,1e+30,True,2.5594590145153036,772.1396934273074,2.1489991795440733,0.9061671023249611,,,,,,,,,,,,,,
MTL,0.9995,11,1e+30,True,2.584466813216023,30.729935925758586,2.5971074821677367,0.44202291043186753,,,,,,,,,,,,,,
MTL,0.9995,12,0.008020344148616925,True,2.088694964166931,5.520946354671598,0.0003161327778985054,0.15097782501425522,,,,,,,,,,,,,,
MTL,0.9995,13,0.008073243938109879,True,2.4866071753755876,13.147656084692535,0.00015413629300895044,0.30968704826628796,,,,,,,,,,,,,,
MTL,0.9995,14,1e+30,True,2.544305488967698,10.468712759950904,5.4482054517253715,0.2822084825480169,,,,,,,,,,,,,,
MTL,0.9995,15,0.0006673555000240877,True,2.4022281139964083,145.55925539785184,1.2953356350501666e-05,0.6314166003780405,,,,,,,,,,,,,,
MTL,0.9995,16,1e+30,True,2.29963589384129,15.61605253017872,0.03351598948113437,0.3180799709550958,,,,,,,,,,,,,,
MTL,0.9995,17,1e+30,True,1.9549389197805742,258.57200745752544,0.25707177649199947,0.6981000958109597,,,,,,,,,,,,,,
MTL,0.9995,18,1e+30,True,1.9410209778903829,9.128160249959517,0.0024045694081935285,0.2131632353142224,,,,,,,,,,,,,,
MTL,0.9995,19,1e+30,True,2.477012437284916,889.4474697016394,6.203335642554414,0.9187634244486693,,,,,,,,,,,,,,
MPL,,0,0.0007089649958445714,True,,,,,2.667090566728131,228.91404934752182,65.26262957622687,2.8235750023801712e-05,0.7670229609980006,0.010373996270487301,0.9188118586886953,,,,,,,
MPL,,1,0.9155441151215048,True,,,,,2.7225867717857084,9565.954803794582,2.0769613374388043,1.0266507301060216e-05,1.2217593806815108,0.7471342137045967,1.0575225379245048,,,,,,,
MPL,,2,0.00027803987245854746,False,,,,,2.6062593801517533,53.77786609276576,1.220410635491128,1.4394453157580203,0.5742279988791634,0.011311399126341397,3.0,,,,,,,
MPL,,3,0.0014996578060074788,False,,,,,2.6979726923987144,370.8299673524157,0.7628065313258866,0.00019314637238681954,0.8355191261067347,0.23992085647771128,0.9022939400688436,,,,,,,
MPL,,4,0.00038649564584930887,True,,,,,2.342947008591108,9.620128851679741,0.13377186048302822,0.5299082789645854,0.3117901520932569,1.1742271327760436,0.9743954479042628,,,,,,,
MPL,,5,0.013859206656829097,True,,,,,2.7354940309521343,1173.8142233498459,3.692473544850375,2.718248373823965e-06,0.9905670373919065,2.2016206042279354,0.7019566070017632,,,,,,,
MPL,,6,0.0003319866875593276,True,,,,,2.599857440733096,50.57993689276993,0.14655409274953868,8.764163903044336,0.5610494467495996,2.411475559637535,0.01,,,,,,,
MPL,,7,0.010380088516750619,True,,,,,1.756417822303103,9.129210438244446,81.672074975954,5.885217727197159e-06,0.14354304285681535,0.5384308568922898,0.37718622039836364,,,,,,,
MPL,,8,0.00026532249151511704,True,,,,,2.5535492976441194,38.31703003455811,1.0659214542878728,3.517055616052124e-05,0.5215168490314445,0.6128281006926396,0.558476008452995,,,,,,,
MPL,,9,0.00030665275272835857,False,,,,,2.2070972399158784,9.377119815887042,1.3616983331557244,2.686567055263339e-05,0.28871388661423136,0.3502786644755776,1.1378919896844841,,,,,,,
MPL,,10,0.00038212960864294967,True,,,,,1.9617927056796904,6.272449703155091,0.131428205255647,0.001732019987236473,0.2088510338442675,0.7000939183749151,0.806473258753588,,,,,,,
MPL,,11,0.0004331634957940744,True,,,,,1.5482372217908318,4.9152507839966475,0.11279099231976288,0.5868250459290838,0.14136431992324777,2.9606967753098314,1.6933621914540642,,,,,,,
MPL,,12,0.00041560368279572893,True,,,,,2.0336932876006983,5.829387832891323,0.1254710447663969,1.475462202494223,0.2085234739416007,1.1842221213048647,0.9977060216119916,,,,,,,
MPL,,13,0.0026946000743261578,True,,,,,2.5370967819808743,165.74577925141455,0.9394363072457235,0.0002799084867915877,0.618189401478865,0.3867862749908969,0.6388340483245033,,,,,,,
MPL,,14,0.0004274623198768112,True,,,,,1.8414285377988786,4.802819628708384,0.1313614906672312,1.514204509042657,0.1654783678551137,0.38007299085233504,0.7572263062808268,,,,,,,
MPL,,15,0.5498408642753384,True,,,,,2.019261254766414,7267.667718876021,229.4589525861168,1e-06,0.8445079753010597,0.7148101598111317,1.1899506521551035,,,,,,,
MPL,,16,0.00046111044070656313,False,,,,,2.4246563665004044,8.416407180190975,6.043292661637364,1.8706921313348487e-06,0.3218546902688211,1.0920214500732683,1.4657427649538495,,,,,,,
MPL,,17,0.0002569661509150886,True,,,,,2.5588482149795335,68.65231570794862,24.492033138697312,1.5628229974403447e-06,0.5911216716699356,0.27896889103522,1.3889060809378124,,,,,,,
MPL,,18,0.001767693571651153,True,,,,,2.528874513474201,19.902762523130455,90.6096236341911,1e-06,0.39966112421881494,0.39343672148837244,1.1064089360347602,,,,,,,
MPL,,19,0.0012628854996087253,True,,,,,2.821649675461329,10.774911772551778,218.3449209989133,1.8541408227766926e-05,0.5554942360162087,0.010268195286569578,0.20437067237267695,,,,,,,
FSL,,0,0.0031352691608286984,True,0.1,,,,,,,,,,,0.0,3.444884132110397,4.61053037980793e-05,0.000991941977437086,28.455921958805625,0.0993404085001717,1.5967502677509837
FSL,,1,0.003134417033619805,True,0.1,,,,,,,,,,,0.0,3.444763978545803,0.0996001724317647,0.010129727103770754,1152.473904214436,0.09931957549731996,0.6977016078961572
FSL,,2,0.003135133545255527,True,0.1,,,,,,,,,,,0.0,3.444865378707641,0.014359026851034122,0.08900544512749148,1904.2609157909487,0.09933712893992157,1.8772581273851916
FSL,,3,0.000465779558818459,True,2.8152665425849626,,,,,,,,,,,0.0,1.2158074886714874,8.916138036631486,22.74251367535831,43043.345996437754,1.1721254442368167,0.9594427924759102
FSL,,4,0.0009254154183562244,False,2.7456758894449766,,,,,,,,,,,1.0,1.1063367851659205,1.7192212454114797,157.48380223954686,10.836267626157792,0.8847315641703839,0.28830270972466254
FSL,,5,0.00040793057575759083,False,2.8087186293037085,,,,,,,,,,,1.0,1.220674427297586,7.584942938656288,85.3129486025415,103.14922123795823,1.1599051952421615,0.0626557366393023
FSL,,6,0.0031335248387463154,True,0.1,,,,,,,,,,,0.0,3.4446384476670486,0.20578119684584295,0.0006311216561359837,134.28965864502143,0.09929783104492987,1.078891259725513
FSL,,7,0.002132666630495717,False,2.3144018529353696,,,,,,,,,,,1.0,1.175767892375627,279.1509892391424,0.016946274341899853,3.6546064115241492,0.30859233927653756,1.8541815771246806
FSL,,8,0.000465230295060361,True,2.8149271811834864,,,,,,,,,,,0.0,1.2160709731330188,0.0012479399692006917,162748.7018060672,1550.8753993860419,1.1716148173570582,1.5570433933937793
FSL,,9,0.00039383668324010853,True,2.8050345409775232,,,,,,,,,,,0.0,1.2206651208139254,1.4899445418650812,175.5984899834889,0.6188372399583939,1.1520770932893563,1.3607017043611553
